Dates;Type;Price;Size
1/16/2023 12:21:11 PM;BEST_ASK;9.1;3000
1/16/2023 12:21:17 PM;BEST_ASK;9.14;3107
1/16/2023 12:21:20 PM;BEST_ASK;9.14;3000
1/16/2023 12:21:20 PM;BEST_ASK;9;107
1/16/2023 12:21:25 PM;BEST_BID;8.82;754
1/16/2023 12:21:25 PM;TRADE;8.82;12
1/16/2023 12:21:36 PM;BEST_BID;8.82;1504
1/16/2023 12:23:33 PM;BEST_ASK;9;7
1/16/2023 12:23:33 PM;TRADE;9;100
1/16/2023 12:24:58 PM;BEST_BID;8.82;2254
1/16/2023 12:34:04 PM;BEST_BID;9;493
1/16/2023 12:34:04 PM;BEST_ASK;9.12;3392
1/16/2023 12:34:04 PM;TRADE;9;7
1/16/2023 12:34:20 PM;BEST_BID;8.82;2254
1/16/2023 12:35:03 PM;BEST_BID;8.82;2754
1/16/2023 12:36:00 PM;BEST_ASK;9.12;3362
1/16/2023 12:36:00 PM;TRADE;9.12;30
1/16/2023 12:40:14 PM;BEST_BID;8.82;2004
1/16/2023 12:40:14 PM;BEST_BID;8.82;1254
1/16/2023 12:40:14 PM;BEST_BID;8.82;754
1/16/2023 12:40:26 PM;BEST_BID;8.82;742
1/16/2023 12:40:26 PM;TRADE;8.82;12
1/16/2023 12:41:07 PM;BEST_ASK;9.1;6393
1/16/2023 12:41:40 PM;BEST_ASK;9.08;3020
1/16/2023 12:41:46 PM;BEST_BID;8.76;742
1/16/2023 12:42:09 PM;BEST_BID;8.76;2742
1/16/2023 12:42:29 PM;BEST_BID;8.76;742
1/16/2023 12:42:33 PM;BEST_BID;8.82;500
1/16/2023 12:42:36 PM;BEST_ASK;9.08;3010
1/16/2023 12:42:36 PM;TRADE;9.08;10
1/16/2023 12:44:07 PM;BEST_BID;8.82;492
1/16/2023 12:44:07 PM;TRADE;8.82;8
1/16/2023 12:44:16 PM;BEST_ASK;9;12
1/16/2023 12:44:48 PM;BEST_ASK;9.08;3010
1/16/2023 12:45:05 PM;BEST_BID;8.82;2492
1/16/2023 12:45:32 PM;BEST_ASK;9.08;10
1/16/2023 12:45:32 PM;TRADE;9.08;3000
1/16/2023 12:46:23 PM;BEST_ASK;9;6800
1/16/2023 12:46:57 PM;BEST_BID;8.82;492
1/16/2023 12:47:03 PM;BEST_BID;8.82;480
1/16/2023 12:47:03 PM;TRADE;8.82;12
1/16/2023 12:47:07 PM;BEST_ASK;9;5300
1/16/2023 12:47:07 PM;TRADE;9;1500
1/16/2023 12:47:09 PM;BEST_ASK;8.98;1777
1/16/2023 12:47:12 PM;TRADE;8.98;600
1/16/2023 12:47:12 PM;BEST_ASK;8.98;1177
1/16/2023 12:47:12 PM;BEST_ASK;9;6477
1/16/2023 12:47:13 PM;BEST_ASK;8.96;1177
1/16/2023 12:47:15 PM;BEST_ASK;8.98;1177
1/16/2023 12:47:24 PM;TRADE;8.98;1177
1/16/2023 12:47:24 PM;TRADE;9;523
1/16/2023 12:47:24 PM;BEST_ASK;9;4777
1/16/2023 12:47:35 PM;BEST_ASK;9;77
1/16/2023 12:47:35 PM;TRADE;9;4700
1/16/2023 12:47:44 PM;BEST_ASK;9.12;389
